identifier,votes,pref,value
911899444-1,"['1-3', '1-2', '1-5', '1-4', '1-1']",0,1.0
930868805-1,"['1-3', '1-4', '1-1', '4-5', '4-3']",0,1.0
938606938-1,"['1-2', '4-1', '1-5', '4-5', '3-2', '3-1', '3-3', '1-4', '1-1', '1-3']",0,1.0
939327797-1,"['1-3', '3-1', '4-3', '1-4', '1-5']",0,1.0
949991495-1,"['1-3', '1-4', '1-2', '1-1', '1-5']",0,1.0
964677337-1,"['1-2', '3-1', '1-5', '3-3', '1-3', '3-2', '1-1', '1-4']",0,1.0
964968575-1,"['1-4', '1-2', '1-3', '1-5', '1-1']",0,1.0
1000682416-1,"['1-1', '2-1', '3-1', '4-1', '5-1']",0,1.0
1047003629-1,"['1-2', '1-5', '3-1', '4-1', '1-1', '3-2', '3-3', '2-1', '2-2']",0,1.0
1119030520-1,"['1-3', '1-4', '4-5', '1-2', '1-5']",0,1.0
1135902419-1,"['1-3', '1-5', '1-1', '1-2', '1-4', '2-2', '2-1', '6-1', '6-2', '3-1', '3-2', '3-3', '8-2', '8-1', '7-2', '7-1', '5-2', '5-1', '4-2', '4-1', '4-5', '4-4', '4-3']",0,1.0
1154645316-1,"['1-2', '1-5', '1-1', '1-3', '1-4', '3-2', '3-1', '3-3']",0,1.0
1212807918-1,"['1-1', '1-2', '1-3', '1-4', '1-5']",0,1.0
1292303596-1,"['1-2', '1-3', '1-4', '1-1', '1-5']",0,1.0
1321478596-1,"['1-3', '1-4', '1-1', '1-2', '1-5']",0,1.0
1333864651-1,"['1-1', '3-1', '3-3', '3-2', '1-4', '1-2', '1-5', '1-3', '2-1', '2-2', '6-1', '6-2', '8-1', '8-2', '7-1', '7-2', '5-1', '5-2', '4-1', '4-3', '4-4', '4-2', '4-5']",0,1.0
1362256501-1,"['1-3', '1-4', '1-1', '1-5', '1-2']",0,1.0
1420902734-1,"['1-2', '1-3', '1-5', '1-1', '1-4']",0,1.0
1432703045-1,"['1-3', '1-1', '1-2', '1-4', '1-5']",0,1.0
1432796557-1,"['1-1', '1-2', '1-5', '1-3', '1-4']",0,1.0
1441334787-1,"['1-3', '1-4', '1-2', '1-5', '1-1']",0,1.0
1465326796-1,"['1-3', '6-1', '3-3', '4-5', '3-1']",0,1.0
1467917742-1,"['1-2', '1-5', '1-4']",0,1.0
1467957416-1,"['1-3', '1-4', '1-1', '1-5', '1-2', '3-1', '3-3', '3-2']",0,1.0
1488649720-1,"['1-2', '1-4', '1-1', '1-3', '1-5']",0,1.0
1552284490-1,"['1-3', '1-2', '1-1', '1-5', '1-4', '3-2', '3-1', '3-3', '4-5', '4-3', '4-4', '4-1', '4-2', '2-2', '2-1', '5-1', '5-2', '6-2', '6-1']",0,1.0
1552956723-1,"['1-3', '1-5', '3-3', '1-1', '6-1']",0,1.0
1579150830-1,"['1-2', '1-4', '4-2', '4-5', '4-1']",0,1.0
1589688915-1,"['1-1', '1-4', '2-1', '3-3', '6-1']",0,1.0
1625328542-1,"['1-2', '1-1', '7-2', '8-1', '2-2']",0,1.0
1626494096-1,"['1-3', '1-1', '1-5', '1-2', '1-4']",0,1.0
1638251090-1,"['1-2', '1-5', '1-4', '1-1', '1-3']",0,1.0
1662585045-1,"['1-2', '1-1', '1-4', '1-5', '1-3']",0,1.0
1695976271-1,"['1-3', '1-1', '1-5', '1-4', '1-2', '4-3']",0,1.0
1771935781-1,"['1-2', '4-1', '6-1', '1-3', '2-1']",0,1.0
1809608225-1,"['1-2', '1-4', '1-5', '3-2', '8-2']",0,1.0
1817082052-1,"['1-3', '1-4', '5-1', '5-2', '4-4']",0,1.0
1830847658-1,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1.0
1845988787-1,"['1-1', '1-2', '1-5', '1-4', '1-3']",0,1.0
1850574707-1,"['1-2', '1-3', '1-5', '1-4', '1-1']",0,1.0
1857294767-1,"['1-3', '1-5', '1-2', '1-1', '1-4']",0,1.0
1871601720-1,"['1-3', '1-5', '1-4', '1-1', '1-2']",0,1.0
1874615343-1,"['1-3', '3-3', '1-4', '3-2', '3-1']",0,1.0
